Country,ISO3,Region,CPI score 2023,Rank,African Development Bank CPIA,Bertelsmann Foundation Sustainable Governance Index,Bertelsmann Foundation Transformation Index,Economist Intelligence Unit Country Ratings,Global Insights Country Risk Ratings,IMD World Competitiveness Yearbook,PRS International Country Risk Guide,Varieties of Democracy Project,World Bank CPIA,World Economic Forum EOS,World Justice Project Rule of Law Index
Denmark,DNK,WE/EU,90,1,,96.99364,,89.67447,83.25637,97.89119,100.0,78.89152,,82.20667,87.68097
Finland,FIN,WE/EU,87,2,,88.12477,,89.67447,83.25637,89.84466,93.38018,78.16811,,86.76612,85.88441
New Zealand,NZL,AP,85,3,,96.99364,,89.67447,83.25637,87.10542,93.38018,78.16811,,70.98344,82.2913
Norway,NOR,WE/EU,84,4,,88.12477,,89.67447,83.25637,75.72045,84.67139,78.16811,,,86.78268
Singapore,SGP,AP,83,5,,,72.74066,89.67447,83.25637,76.74767,83.27798,78.16811,,88.51975,84.08785
Sweden,SWE,WE/EU,82,6,,88.12477,,89.67447,83.25637,80.00052,93.38018,78.16811,,60.98773,85.88441
Switzerland,CHE,WE/EU,82,6,,88.12477,,89.67447,71.02245,85.30779,84.67139,77.4447,,80.97914,
Netherlands,NLD,WE/EU,79,8,,61.51816,,89.67447,71.02245,86.42062,84.67139,77.4447,,75.71824,82.2913
Germany,DEU,WE/EU,78,9,,79.2559,,89.67447,71.02245,86.76302,82.58128,77.4447,,59.76019,78.69818
Luxembourg,LUX,WE/EU,78,9,,79.2559,,72.20404,71.02245,78.28849,84.67139,76.7213,,81.85595,80.49474
Ireland,IRL,WE/EU,77,11,,79.2559,,72.20404,71.02245,86.76302,75.96259,75.99789,,73.78925,80.49474
Canada,CAN,AME,76,12,,79.2559,,89.67447,71.02245,74.00843,75.96259,75.99789,,63.09209,78.69818
Estonia,EST,WE/EU,76,12,,88.12477,80.71969,72.20404,71.02245,82.99656,67.25381,75.99789,,72.91243,76.00334
Australia,AUS,AP,75,14,,70.38703,,72.20404,83.25637,75.03564,75.96259,76.7213,,59.40947,78.69818
Hong Kong,HKG,AP,75,14,,,,89.67447,58.97113,82.56856,67.25381,71.65746,,80.80377,73.3085
Belgium,BEL,WE/EU,73,16,,79.2559,,72.20404,71.02245,81.37013,73.87249,77.4447,,51.34276,76.00334
Japan,JPN,AP,73,16,,52.64929,,72.20404,71.02245,74.60764,67.25381,74.55109,,83.0835,79.59646
Uruguay,URY,AME,73,16,,,76.73018,72.20404,71.02245,,75.96259,72.38087,,70.10662,71.51195
Iceland,ISL,WE/EU,72,19,,43.78042,,72.20404,71.02245,85.7358,75.96259,76.7213,,77.29651,
Austria,AUT,WE/EU,71,20,,79.2559,,72.20404,58.97113,73.75163,73.87249,68.76384,,68.52835,74.20679
France,FRA,WE/EU,71,20,,70.38703,,72.20404,71.02245,70.07077,69.51809,75.27449,,69.58053,70.61366
Seychelles,SYC,SSA,71,20,,,,72.20404,71.02245,,,70.93406,,,
United Kingdom,GBR,WE/EU,71,20,,70.38703,,72.20404,71.02245,71.52599,73.87249,74.55109,,54.67466,80.49474
Barbados,BRB,AME,69,24,,,,,71.02245,,,73.82767,,,61.63088
United States,USA,AME,69,24,,70.38703,,89.67447,71.02245,71.26919,67.25381,73.82767,,58.88337,72.41022
Bhutan,BTN,AP,68,26,,,68.75114,,71.02245,,,70.21066,60.10603,,
United Arab Emirates,ARE,MENA,68,26,,,52.79308,72.20404,58.97113,81.37013,65.1637,70.93406,,,73.3085
Taiwan,TWN,AP,67,28,,,76.73018,72.20404,71.02245,67.16032,58.54501,62.9766,,71.1588,
Chile,CHL,AME,66,29,,61.51816,76.73018,72.20404,71.02245,54.83374,58.54501,73.82767,,57.48047,65.224
Bahamas,BHS,AME,64,30,,,,,58.97113,,75.96259,,,,57.13948
Cabo Verde,CPV,SSA,64,30,,,,,71.02245,,,62.2532,60.10603,,
"Korea, South",KOR,AP,63,32,,70.38703,60.77211,72.20404,58.97113,58.17219,63.59611,69.48725,,55.90219,70.61366
Israel,ISR,MENA,62,33,,61.51816,,72.20404,58.97113,61.42504,49.83622,68.76384,,,
Lithuania,LTU,WE/EU,61,34,,61.51816,72.74066,54.73361,58.97113,55.94656,49.83622,71.65746,,54.67466,69.71539
Portugal,PRT,WE/EU,61,34,,70.38703,,54.73361,58.97113,48.49924,65.1637,68.04044,,54.67466,65.224
Latvia,LVA,WE/EU,60,36,,70.38703,64.76163,54.73361,58.97113,51.49529,43.39172,71.65746,,,64.32571
Saint Vincent and the Grenadines,VCT,AME,60,36,,,,,58.97113,,,,51.77465,,67.91883
Spain,ESP,WE/EU,60,36,,70.38703,,54.73361,46.73721,54.66254,56.45491,74.55109,,50.46594,69.71539
