Country,Year,Religion,Value
Albania,2011,Total,2800138.0
Albania,2011,Atheist,69995.0
Albania,2011,Catholic,280921.0
Albania,2011,Evangelical,3797.0
Albania,2011,Muslim,1587608.0
Albania,2011,Orthodox,188992.0
Albania,2011,Other,602.0
Albania,2011,Other Christians,1919.0
Albania,2011,Refused to answer,386024.0
Albania,2011,Bektashism,58628.0
Albania,2011,Believers without denomination,153630.0
Albania,2011,Not Stated,68022.0
Anguilla,2001,Total,11430.0
Anguilla,2001,Anglican,3313.0
Anguilla,2001,Baptist,833.0
Anguilla,2001,Brethren,39.0
Anguilla,2001,Church of God,869.0
Anguilla,2001,Evangelical,60.0
Anguilla,2001,Hindu,45.0
Anguilla,2001,Jehovah Witness,81.0
Anguilla,2001,Jewish,16.0
Anguilla,2001,Methodist,2733.0
Anguilla,2001,Muslim,36.0
Anguilla,2001,Pentecostal,878.0
Anguilla,2001,Presbyterian,25.0
Anguilla,2001,Rastafarian,82.0
Anguilla,2001,Roman Catholic,654.0
Anguilla,2001,Seventh Day Adventist,871.0
Anguilla,2001,Other Religions,400.0
Anguilla,2001,No Religion,456.0
Anguilla,2001,Not Specified,39.0
Anguilla,2001,Total,5628.0
Anguilla,2001,Anglican,1647.0
Anguilla,2001,Baptist,384.0
Anguilla,2001,Brethren,18.0
Anguilla,2001,Church of God,359.0
Anguilla,2001,Evangelical,32.0
Anguilla,2001,Hindu,21.0
Anguilla,2001,Jehovah Witness,37.0
Anguilla,2001,Jewish,9.0
Anguilla,2001,Methodist,1365.0
Anguilla,2001,Muslim,20.0
Anguilla,2001,Pentecostal,398.0
Anguilla,2001,Presbyterian,11.0
Anguilla,2001,Rastafarian,74.0
Anguilla,2001,Roman Catholic,311.0
Anguilla,2001,Seventh Day Adventist,424.0
Anguilla,2001,Other Religions,195.0
Anguilla,2001,No Religion,296.0
Anguilla,2001,Not Specified,27.0
Anguilla,2001,Total,5802.0
Anguilla,2001,Anglican,1666.0
Anguilla,2001,Baptist,449.0
Anguilla,2001,Brethren,21.0
Anguilla,2001,Church of God,510.0
Anguilla,2001,Evangelical,28.0
Anguilla,2001,Hindu,24.0
Anguilla,2001,Jehovah Witness,44.0
Anguilla,2001,Jewish,7.0
Anguilla,2001,Methodist,1368.0
Anguilla,2001,Muslim,16.0
Anguilla,2001,Pentecostal,480.0
Anguilla,2001,Presbyterian,14.0
Anguilla,2001,Rastafarian,8.0
Anguilla,2001,Roman Catholic,343.0
Anguilla,2001,Seventh Day Adventist,447.0
Anguilla,2001,Other Religions,205.0
Anguilla,2001,No Religion,160.0
Anguilla,2001,Not Specified,12.0
Antigua and Barbuda,2001,Total,76886.0
Antigua and Barbuda,2001,Anglican,19767.0
Antigua and Barbuda,2001,Baha'i,51.0
Antigua and Barbuda,2001,Baptist,3777.0
Antigua and Barbuda,2001,Brethren,194.0
Antigua and Barbuda,2001,Church of God,3443.0
Antigua and Barbuda,2001,Evangelical,1982.0
Antigua and Barbuda,2001,Hindu,189.0
Antigua and Barbuda,2001,Islam ,228.0
Antigua and Barbuda,2001,Jehovah Witness,1257.0
Antigua and Barbuda,2001,Methodist,6091.0
Antigua and Barbuda,2001,Moravian,8057.0
Antigua and Barbuda,2001,Pentecostal,8118.0
Antigua and Barbuda,2001,Presbyterian,205.0
Antigua and Barbuda,2001,Rastafarian,973.0
Antigua and Barbuda,2001,Roman Catholic,8021.0
Antigua and Barbuda,2001,Salvation Army,444.0
Antigua and Barbuda,2001,Seventh Day Adventist,9436.0
Antigua and Barbuda,2001,Spiritualist,66.0
Antigua and Barbuda,2001,Other,116.0
Antigua and Barbuda,2001,No Religion,3145.0
Antigua and Barbuda,2001,Not Declared,1329.0
Antigua and Barbuda,2001,Total,36109.0
Antigua and Barbuda,2001,Anglican,9482.0
Antigua and Barbuda,2001,Baha'i,20.0
Antigua and Barbuda,2001,Baptist,1635.0
Antigua and Barbuda,2001,Brethren,100.0
Antigua and Barbuda,2001,Church of God,1435.0
Antigua and Barbuda,2001,Evangelical,849.0
Antigua and Barbuda,2001,Hindu,100.0
Antigua and Barbuda,2001,Islam ,136.0
Antigua and Barbuda,2001,Jehovah Witness,548.0
Antigua and Barbuda,2001,Methodist,2822.0
Antigua and Barbuda,2001,Moravian,3792.0
Antigua and Barbuda,2001,Pentecostal,3455.0
Antigua and Barbuda,2001,Presbyterian,102.0
Antigua and Barbuda,2001,Rastafarian,764.0
Antigua and Barbuda,2001,Roman Catholic,3647.0
Antigua and Barbuda,2001,Salvation Army,196.0
Antigua and Barbuda,2001,Seventh Day Adventist,4263.0
Antigua and Barbuda,2001,Spiritualist,28.0
Antigua and Barbuda,2001,Other,57.0
Antigua and Barbuda,2001,No Religion,1954.0
Antigua and Barbuda,2001,Not Declared,724.0
Antigua and Barbuda,2001,Total,40777.0
Antigua and Barbuda,2001,Anglican,10285.0
Antigua and Barbuda,2001,Baha'i,30.0
Antigua and Barbuda,2001,Baptist,2142.0
Antigua and Barbuda,2001,Brethren,94.0
Antigua and Barbuda,2001,Church of God,2008.0
Antigua and Barbuda,2001,Evangelical,1133.0
Antigua and Barbuda,2001,Hindu,89.0
Antigua and Barbuda,2001,Islam ,91.0
Antigua and Barbuda,2001,Jehovah Witness,709.0
Antigua and Barbuda,2001,Methodist,3269.0
Antigua and Barbuda,2001,Moravian,4264.0
Antigua and Barbuda,2001,Pentecostal,4663.0
Antigua and Barbuda,2001,Presbyterian,102.0
Antigua and Barbuda,2001,Rastafarian,208.0
Antigua and Barbuda,2001,Roman Catholic,4374.0
Antigua and Barbuda,2001,Salvation Army,248.0
Antigua and Barbuda,2001,Seventh Day Adventist,5173.0
Antigua and Barbuda,2001,Spiritualist,39.0
Antigua and Barbuda,2001,Other,59.0
Antigua and Barbuda,2001,No Religion,1191.0
Antigua and Barbuda,2001,Not Declared,606.0
Armenia,2011,Armenian Apostolic,2796519.0
Armenia,2011,Armenian Orthodox,7532.0
Armenia,2011,Catholic,13843.0
Armenia,2011,Evangelical,29280.0
Armenia,2011,Pagan,5434.0
Armenia,2011,Other,7888.0
Armenia,2011,No Religion,34373.0
Armenia,2011,Not Stated,87214.0
Armenia,2011,Yeshiva's witness,8695.0
Armenia,2011,Molokai,2872.0
Armenia,2011,Shar-fadinian,25204.0
Armenia,2011,Armenian Apostolic,1342448.0
Armenia,2011,Armenian Orthodox,2638.0
Armenia,2011,Catholic,6686.0
Armenia,2011,Evangelical,12297.0
Armenia,2011,Pagan,2817.0
Armenia,2011,Other,3776.0
Armenia,2011,No Religion,17128.0
Armenia,2011,Not Stated,43433.0
Armenia,2011,Yeshiva's witness,2784.0
Armenia,2011,Molokai,1450.0
Armenia,2011,Shar-fadinian,12595.0
Armenia,2011,Armenian Apostolic,1454071.0
Armenia,2011,Armenian Orthodox,4894.0
Armenia,2011,Catholic,7157.0
Armenia,2011,Evangelical,16983.0
Armenia,2011,Pagan,2617.0
Armenia,2011,Other,4112.0
Armenia,2011,No Religion,17245.0
Armenia,2011,Not Stated,43781.0
Armenia,2011,Yeshiva's witness,5911.0
Armenia,2011,Molokai,1422.0
Armenia,2011,Shar-fadinian,12609.0
Armenia,2011,Armenian Apostolic,1790794.0
Armenia,2011,Armenian Orthodox,5570.0
Armenia,2011,Catholic,3058.0
Armenia,2011,Evangelical,17758.0
Armenia,2011,Pagan,948.0
Armenia,2011,Other,4103.0
Armenia,2011,No Religion,22159.0
Armenia,2011,Not Stated,56892.0
Armenia,2011,Yeshiva's witness,6231.0
Armenia,2011,Molokai,849.0
Armenia,2011,Shar-fadinian,2925.0
Armenia,2011,Armenian Apostolic,839886.0
Armenia,2011,Armenian Orthodox,1829.0
Armenia,2011,Catholic,1302.0
Armenia,2011,Evangelical,7283.0
Armenia,2011,Pagan,524.0
Armenia,2011,Other,1939.0
Armenia,2011,No Religion,10910.0
Armenia,2011,Not Stated,27916.0
Armenia,2011,Yeshiva's witness,1981.0
Armenia,2011,Molokai,425.0
Armenia,2011,Shar-fadinian,1377.0
Armenia,2011,Armenian Apostolic,950908.0
Armenia,2011,Armenian Orthodox,3741.0
Armenia,2011,Catholic,1756.0
Armenia,2011,Evangelical,10475.0
Armenia,2011,Pagan,424.0
Armenia,2011,Other,2164.0
Armenia,2011,No Religion,11249.0
Armenia,2011,Not Stated,28976.0
Armenia,2011,Yeshiva's witness,4250.0
Armenia,2011,Molokai,424.0
Armenia,2011,Shar-fadinian,1548.0
Armenia,2011,Armenian Apostolic,1005725.0
Armenia,2011,Armenian Orthodox,1962.0
Armenia,2011,Catholic,10785.0
Armenia,2011,Evangelical,11522.0
Armenia,2011,Pagan,4486.0
Armenia,2011,Other,3785.0
Armenia,2011,No Religion,12214.0
Armenia,2011,Not Stated,30322.0
Armenia,2011,Yeshiva's witness,2464.0
Armenia,2011,Molokai,2023.0
Armenia,2011,Shar-fadinian,22279.0
Armenia,2011,Armenian Apostolic,502562.0
Armenia,2011,Armenian Orthodox,809.0
Armenia,2011,Catholic,5384.0
Armenia,2011,Evangelical,5014.0
Armenia,2011,Pagan,2293.0
Armenia,2011,Other,1837.0
Armenia,2011,No Religion,6218.0
Armenia,2011,Not Stated,15517.0
Armenia,2011,Yeshiva's witness,803.0
Armenia,2011,Molokai,1025.0
Armenia,2011,Shar-fadinian,11218.0
Armenia,2011,Armenian Apostolic,503163.0
Armenia,2011,Armenian Orthodox,1153.0
Armenia,2011,Catholic,5401.0
Armenia,2011,Evangelical,6508.0
Armenia,2011,Pagan,2193.0
Armenia,2011,Other,1948.0
Armenia,2011,No Religion,5996.0
Armenia,2011,Not Stated,14805.0
Armenia,2011,Yeshiva's witness,1661.0
Armenia,2011,Molokai,998.0
Armenia,2011,Shar-fadinian,11061.0
Aruba,2010,Total,101484.0
Aruba,2010,Adventist,880.0
Aruba,2010,Anglican,450.0
Aruba,2010,Jehovah Witness,1703.0
Aruba,2010,Jewish,354.0
Aruba,2010,Methodist,932.0
Aruba,2010,Pagan,5625.0
Aruba,2010,Protestant,2698.0
Aruba,2010,Roman Catholic,76464.0
Aruba,2010,No Religion,5625.0
Aruba,2010,Not Stated,515.0
Aruba,2010,Other Religions and Persuasions,11862.0
Aruba,2010,Total,48241.0
Aruba,2010,Adventist,349.0
Aruba,2010,Anglican,183.0
Aruba,2010,Jehovah Witness,683.0
Aruba,2010,Jewish,202.0
Aruba,2010,Methodist,420.0
Aruba,2010,Pagan,3104.0
Aruba,2010,Protestant,1230.0
Aruba,2010,Roman Catholic,36506.0
Aruba,2010,No Religion,3104.0
Aruba,2010,Not Stated,283.0
Aruba,2010,Other Religions and Persuasions,5282.0
Aruba,2010,Total,53243.0
Aruba,2010,Adventist,531.0
Aruba,2010,Anglican,267.0
Aruba,2010,Jehovah Witness,1020.0
Aruba,2010,Jewish,152.0
Aruba,2010,Methodist,512.0
Aruba,2010,Pagan,2521.0
Aruba,2010,Protestant,1469.0
Aruba,2010,Roman Catholic,39959.0
Aruba,2010,No Religion,2521.0
Aruba,2010,Not Stated,233.0
Aruba,2010,Other Religions and Persuasions,6580.0
Aruba,2000,Total,90506.0
Aruba,2000,Adventist,691.0
Aruba,2000,Anglican,397.0
Aruba,2000,Evangelical,3679.0
Aruba,2000,Jehovah Witness,1350.0
Aruba,2000,Jewish,198.0
Aruba,2000,Methodist,1045.0
Aruba,2000,Pagan,3546.0
Aruba,2000,Protestant,2282.0
Aruba,2000,Roman Catholic,73158.0
Aruba,2000,Not Stated,610.0
Aruba,2000,Other Religions and Persuasions,3550.0
Aruba,2000,Total,43436.0
Aruba,2000,Adventist,266.0
Aruba,2000,Anglican,150.0
Aruba,2000,Evangelical,1623.0
Aruba,2000,Jehovah Witness,581.0
Aruba,2000,Jewish,100.0
Aruba,2000,Methodist,463.0
Aruba,2000,Pagan,1946.0
Aruba,2000,Protestant,1116.0
Aruba,2000,Roman Catholic,35221.0
Aruba,2000,Not Stated,305.0
Aruba,2000,Other Religions and Persuasions,1666.0
Aruba,2000,Total,47069.0
Aruba,2000,Adventist,425.0
Aruba,2000,Anglican,247.0
Aruba,2000,Evangelical,2056.0
Aruba,2000,Jehovah Witness,770.0
Aruba,2000,Jewish,99.0
Aruba,2000,Methodist,582.0
Aruba,2000,Pagan,1600.0
Aruba,2000,Protestant,1166.0
Aruba,2000,Roman Catholic,37937.0
Aruba,2000,Not Stated,306.0
Aruba,2000,Other Religions and Persuasions,1884.0
Australia,2011,Total,21507719.0
Australia,2011,Anglican,3679907.0
Australia,2011,Baha'i,13705.0
Australia,2011,Baptist,352499.0
Australia,2011,Brethren,21732.0
Australia,2011,Buddhist,528979.0
Australia,2011,Catholic,5439266.0
Australia,2011,Church of Christ,49688.0
Australia,2011,Druze,2973.0
Australia,2011,Eastern Orthodox,563072.0
Australia,2011,Hindu,275536.0
Australia,2011,Islam ,476291.0
Australia,2011,Judaism,97334.0
Australia,2011,Latter Day Saints,59770.0
Australia,2011,Lutheran,251932.0
Australia,2011,Pentecostal,237984.0
Australia,2011,Salvation Army,60162.0
Australia,2011,Seventh Day Adventist,63002.0
Australia,2011,Sikh,72296.0
Australia,2011,Spiritualist,11553.0
Australia,2011,United Church,1065794.0
Australia,2011,Other Christians,37674.0
Australia,2011,Other Protestant,60240.0
Australia,2011,Other Religions,18893.0
Australia,2011,No Religion,4796786.0
Australia,2011,Not Specified,170401.0
Australia,2011,Jehovah's Witnesses,85636.0
Australia,2011,Not Stated,1839650.0
Australia,2011,Christian nfd,470939.0
Australia,2011,Chinese Religions,5151.0
Australia,2011,Presbyterian and Reformed,599517.0
Australia,2011,Japanese Religions,1640.0
Australia,2011,Nature and earth based religions,32083.0
Australia,2011,"Theism, nec",3882.0
Australia,2011,Zoroastrianism,2541.0
Australia,2011,Australian Aboriginal Traditional Religion,7362.0
Australia,2011,Assyrian Apostolic,10588.0
Australia,2011,Oriental Orthodox,41261.0
Australia,2011,Total,10634012.0
Australia,2011,Anglican,1730112.0
Australia,2011,Baha'i,6548.0
Australia,2011,Baptist,166187.0
Australia,2011,Brethren,10532.0
Australia,2011,Buddhist,240186.0
Australia,2011,Catholic,2607250.0
Australia,2011,Church of Christ,22085.0
Australia,2011,Druze,1579.0
Australia,2011,Eastern Orthodox,278398.0
Australia,2011,Hindu,148463.0
Australia,2011,Islam ,249024.0
Australia,2011,Judaism,47060.0
Australia,2011,Latter Day Saints,28313.0
Australia,2011,Lutheran,119067.0
Australia,2011,Pentecostal,109726.0
Australia,2011,Salvation Army,26401.0
Australia,2011,Seventh Day Adventist,28744.0
Australia,2011,Sikh,42229.0
Australia,2011,Spiritualist,3166.0
Australia,2011,United Church,476639.0
Australia,2011,Other Christians,17921.0
Australia,2011,Other Protestant,28330.0
Australia,2011,Other Religions,10810.0
Australia,2011,No Religion,2554108.0
Australia,2011,Not Specified,107152.0
Australia,2011,Jehovah's Witnesses,37480.0
Australia,2011,Not Stated,979922.0
Australia,2011,Christian nfd,219925.0
Australia,2011,Chinese Religions,2883.0
Australia,2011,Presbyterian and Reformed,287700.0
Australia,2011,Japanese Religions,627.0
Australia,2011,Nature and earth based religions,11966.0
Australia,2011,"Theism, nec",2287.0
Australia,2011,Zoroastrianism,1386.0
Australia,2011,Australian Aboriginal Traditional Religion,3802.0
Australia,2011,Assyrian Apostolic,5116.0
Australia,2011,Oriental Orthodox,20888.0
Australia,2011,Total,10873707.0
Australia,2011,Anglican,1949795.0
Australia,2011,Baha'i,7157.0
Australia,2011,Baptist,186312.0
Australia,2011,Brethren,11200.0
Australia,2011,Buddhist,288793.0
Australia,2011,Catholic,2832016.0
Australia,2011,Church of Christ,27603.0
Australia,2011,Druze,1394.0
Australia,2011,Eastern Orthodox,284674.0
Australia,2011,Hindu,127073.0
Australia,2011,Islam ,227267.0
Australia,2011,Judaism,50274.0
Australia,2011,Latter Day Saints,31457.0
Australia,2011,Lutheran,132865.0
Australia,2011,Pentecostal,128258.0
Australia,2011,Salvation Army,33761.0
Australia,2011,Seventh Day Adventist,34258.0
Australia,2011,Sikh,30067.0
Australia,2011,Spiritualist,8387.0
Australia,2011,United Church,589155.0
Australia,2011,Other Christians,19753.0
Australia,2011,Other Protestant,31910.0
Australia,2011,Other Religions,8083.0
Australia,2011,No Religion,2242678.0
Australia,2011,Not Specified,63249.0
Australia,2011,Jehovah's Witnesses,48156.0
Australia,2011,Not Stated,859728.0
Australia,2011,Christian nfd,251014.0
Australia,2011,Chinese Religions,2268.0
Australia,2011,Presbyterian and Reformed,311817.0
Australia,2011,Japanese Religions,1013.0
Australia,2011,Nature and earth based religions,20117.0
Australia,2011,"Theism, nec",1595.0
Australia,2011,Zoroastrianism,1155.0
Australia,2011,Australian Aboriginal Traditional Religion,3560.0
Australia,2011,Assyrian Apostolic,5472.0
Australia,2011,Oriental Orthodox,20373.0
Australia,2011,Total,19126753.0
Australia,2011,Anglican,3165621.0
Australia,2011,Baha'i,13087.0
Australia,2011,Baptist,315905.0
Australia,2011,Brethren,20049.0
Australia,2011,Buddhist,510347.0
Australia,2011,Catholic,4918713.0
Australia,2011,Church of Christ,43069.0
Australia,2011,Druze,2927.0
Australia,2011,Eastern Orthodox,550515.0
Australia,2011,Hindu,272943.0
Australia,2011,Islam ,470597.0
Australia,2011,Judaism,95849.0
Australia,2011,Latter Day Saints,55746.0
Australia,2011,Lutheran,198819.0
Australia,2011,Pentecostal,216542.0
Australia,2011,Salvation Army,53190.0
Australia,2011,Seventh Day Adventist,53675.0
